ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
59c5bd2b-cf68-4e5e-819d-53917a6c5275|Davros, Dalek Creator|{1}{U}{B}{R}|Legendary Artifact Creature - Alien Scientist|3|4|Menace<br>At the beginning of your end step, create a 3/3 black Dalek artifact creature token with menace if an opponent lost 3 or more life this turn. Then each opponent who lost 3 or more life this turn faces a villainous choice — You draw a card, or that player discards a card.<BR><a href="https://api.scryfall.com/cards/59c5bd2b-cf68-4e5e-819d-53917a6c5275/rulings">Rulings</a>|Doctor Who|Mythic||Simon Dominic|1|F$ 0.31<br>MID: 634404<br>Finishes: foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/1/davros-dalek-creator?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634404&printed=false">Gatherer</a>|634404|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/59c5bd2b-cf68-4e5e-819d-53917a6c5275.jpg?1696636503}
c84ea0fd-efc7-4614-9f8f-41a3c71fceaa|The Fourth Doctor|{2}{G}{U}|Legendary Creature - Time Lord Doctor|4|4|You may look at the top card of your library any time.<br>Would You Like A...? — Once each turn, you may play a historic land or cast a historic spell from the top of your library. When you do, create a Food token. (Artifacts, legendaries, and Sagas are historic.)<BR><a href="https://api.scryfall.com/cards/c84ea0fd-efc7-4614-9f8f-41a3c71fceaa/rulings">Rulings</a>|Doctor Who|Mythic||David Auden Nash|2|F$ 0.18<br>MID: 634405<br>Finishes: foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/2/the-fourth-doctor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634405&printed=false">Gatherer</a>|634405|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/8/c84ea0fd-efc7-4614-9f8f-41a3c71fceaa.jpg?1696636503}
f1499f49-793b-4265-9ad0-883a431941ab|The Tenth Doctor|{3}{U}{R}|Legendary Creature - Time Lord Doctor|3|5|Allons-y! — Whenever you attack, exile cards from the top of your library until you exile a nonland card. Put three time counters on it. If it doesn't have suspend, it gains suspend.<br>Timey-Wimey — {7}: Time travel three times. Activate only as a sorcery. (For each suspended card you own and each permanent you control with a time counter on it, you may add or remove a time counter. Then do it two more times.)<BR><a href="https://api.scryfall.com/cards/f1499f49-793b-4265-9ad0-883a431941ab/rulings">Rulings</a>|Doctor Who|Mythic||Luisa J. Preissler|3|F$ 0.34<br>MID: 634406<br>Finishes: foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/3/the-tenth-doctor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634406&printed=false">Gatherer</a>|634406|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/1/f1499f49-793b-4265-9ad0-883a431941ab.jpg?1696636503}
0dc4ec90-1650-4b98-9350-66341394cf0b|The Thirteenth Doctor|{1}{G}{U}|Legendary Creature - Time Lord Doctor|2|2|Paradox — Whenever you cast a spell from anywhere other than your hand, put a +1/+1 counter on target creature.<br>Team TARDIS — At the beginning of your end step, untap each creature you control with a counter on it.<BR><a href="https://api.scryfall.com/cards/0dc4ec90-1650-4b98-9350-66341394cf0b/rulings">Rulings</a>|Doctor Who|Mythic||Pauline Voss|4|F$ 0.26<br>MID: 634407<br>Finishes: foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/4/the-thirteenth-doctor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634407&printed=false">Gatherer</a>|634407|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/d/0dc4ec90-1650-4b98-9350-66341394cf0b.jpg?1696636504}
3aa8d034-f98c-4e27-b6af-850eadf59941|Rose Tyler|{1}{W}|Legendary Creature - Human|2|2|Rose Tyler gets +1/+1 for each time counter on it.<br>Bad Wolf — Whenever Rose Tyler attacks, put a time counter on it for each suspended card you own and each other permanent you control with a time counter on it.<br>Doctor's companion (You can have two commanders if the other is the Doctor.)<BR><a href="https://api.scryfall.com/cards/3aa8d034-f98c-4e27-b6af-850eadf59941/rulings">Rulings</a>|Doctor Who|Rare||Luisa J. Preissler|5|F$ 0.15<br>MID: 634420<br>Finishes: foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/5/rose-tyler?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634420&printed=false">Gatherer</a>|634420|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/a/3aa8d034-f98c-4e27-b6af-850eadf59941.jpg?1696691620}
1ba76f68-e647-4786-903c-92dbd3cef05d|Sarah Jane Smith|{1}{W}|Legendary Creature - Human Detective|2|1|Whenever you cast a historic spell, investigate. This ability triggers only once each turn. (Artifacts, legendaries, and Sagas are historic. To investigate, create a Clue token. It's an artifact with "{2}, Sacrifice this token: Draw a card.")<br>Doctor's companion (You can have two commanders if the other is the Doctor.)<BR><a href="https://api.scryfall.com/cards/1ba76f68-e647-4786-903c-92dbd3cef05d/rulings">Rulings</a>|Doctor Who|Rare||Fajareka Setiawan|6|F$ 0.21<br>MID: 634421<br>Finishes: foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/6/sarah-jane-smith?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634421&printed=false">Gatherer</a>|634421|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/b/1ba76f68-e647-4786-903c-92dbd3cef05d.jpg?1696691789}
12b09a4f-bb62-4766-8115-cae4d5cc4c12|Yasmin Khan|{3}{R}|Legendary Creature - Human Detective|3|3|{T}: Exile the top card of your library. Until your next end step, you may play it.<br>Doctor's companion (You can have two commanders if the other is the Doctor.)<BR><a href="https://api.scryfall.com/cards/12b09a4f-bb62-4766-8115-cae4d5cc4c12/rulings">Rulings</a>|Doctor Who|Rare||Andrey Kuzinskiy|7|F$ 0.11<br>MID: 634422<br>Finishes: foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/7/yasmin-khan?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634422&printed=false">Gatherer</a>|634422|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/2/12b09a4f-bb62-4766-8115-cae4d5cc4c12.jpg?1696691790}
2dfae7d1-c09b-47e0-92d8-49b21402207d|Missy|{3}{U}{B}{R}|Legendary Creature - Time Lord Rogue|4|5|Whenever another nonartifact creature dies, return it to the battlefield under your control face down and tapped. It's a 2/2 Cyberman artifact creature.<br>At the beginning of your end step, each opponent faces a villainous choice — Each artifact creature you control deals 1 damage to that opponent, or you draw a card and chaos ensues.<BR><a href="https://api.scryfall.com/cards/2dfae7d1-c09b-47e0-92d8-49b21402207d/rulings">Rulings</a>|Doctor Who|Rare||Ekaterina Burmak|8|F$ 0.21<br>MID: 634423<br>Finishes: foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/8/missy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634423&printed=false">Gatherer</a>|634423|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/d/2dfae7d1-c09b-47e0-92d8-49b21402207d.jpg?1696636511}
9a1ee042-6713-4e9e-9901-9b94d99d33f1|Clara Oswald|{6}|Legendary Creature - Human Advisor|2|6|Impossible Girl — If Clara Oswald is your commander, choose a color before the game begins. Clara Oswald is the chosen color.<br>If a triggered ability of a Doctor you control triggers, that ability triggers an additional time.<br>Doctor's companion (You can have two commanders if the other is the Doctor.)<BR><a href="https://api.scryfall.com/cards/9a1ee042-6713-4e9e-9901-9b94d99d33f1/rulings">Rulings</a>|Doctor Who|Rare||Marta Nael|9|R$ 0.15 F$ 2.97<br>MID: 634704<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/9/clara-oswald?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634704&printed=false">Gatherer</a>|634704|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/a/9a1ee042-6713-4e9e-9901-9b94d99d33f1.jpg?1696691790}
68f91092-b679-46c1-9f0c-3b286ee1d02f|Adipose Offspring|{3}{W}|Creature - Alien|2|2|Emerge {5}{W} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)<br>When this creature enters, create a 2/2 white Alien creature token. If this creature's emerge cost was paid, instead create X of those tokens, where X is the sacrificed creature's toughness.<BR><a href="https://api.scryfall.com/cards/68f91092-b679-46c1-9f0c-3b286ee1d02f/rulings">Rulings</a>|Doctor Who|Rare||John Tedrick|10|R$ 0.18 F$ 0.38<br>MID: 634705<br>Finishes: nonfoil:foil:<br>Promos: universesbeyond:<br><br><a href="https://scryfall.com/card/who/10/adipose-offspring?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=634705&printed=false">Gatherer</a>|634705|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/8/68f91092-b679-46c1-9f0c-3b286ee1d02f.jpg?1696636514}
