ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
15597c74-0d47-44e3-87bb-f9174ca265c2|Monk||Token Creature - Monk|1|1|Prowess|MOM Japanese Promo Tokens|Common|Japanese|Rorubei|1|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: plastic:<br>https://scryfall.com/card/wmom/1/ja/monk?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/5/15597c74-0d47-44e3-87bb-f9174ca265c2.jpg?1685566127}
a51f82d6-d653-4fff-a3f3-27b639f2ea84|Soldier||Token Creature - Soldier|1|1|Lifelink|MOM Japanese Promo Tokens|Common|Japanese|Daisuke Izuka|2|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: plastic:<br>https://scryfall.com/card/wmom/2/ja/soldier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/5/a51f82d6-d653-4fff-a3f3-27b639f2ea84.jpg?1685566138}
813def3d-7d9e-4b9a-b03b-3585f2ff0175|Knight||Token Creature - Knight|2|2|Vigilance|MOM Japanese Promo Tokens|Common|Japanese|Lack|3|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: plastic:<br>https://scryfall.com/card/wmom/3/ja/knight?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/1/813def3d-7d9e-4b9a-b03b-3585f2ff0175.jpg?1685566140}
cd499ed5-f600-4551-a713-ac6b6e894fec|Zombie||Token Creature - Zombie|2|2||MOM Japanese Promo Tokens|Common|Japanese|akio|4|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: plastic:<br>https://scryfall.com/card/wmom/4/ja/zombie?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/d/cd499ed5-f600-4551-a713-ac6b6e894fec.jpg?1685566143}
35710226-9e2c-4ee5-a422-a708affb94ef|Dinosaur||Token Creature - Dinosaur|*|*||MOM Japanese Promo Tokens|Common|Japanese|Ishikawa Kenta|5|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: plastic:<br>https://scryfall.com/card/wmom/5/ja/dinosaur?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/5/35710226-9e2c-4ee5-a422-a708affb94ef.jpg?1685566144}
45667463-f668-485b-971a-1a83fb67f448|Thopter||Token Artifact Creature - Thopter|1|1|Flying|MOM Japanese Promo Tokens|Common|Japanese|Naochika Morishita|6|Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: plastic:<br>https://scryfall.com/card/wmom/6/ja/thopter?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/5/45667463-f668-485b-971a-1a83fb67f448.jpg?1685566146}
1f189b30-92c0-4d07-867d-fbb366d54a52|Vampire||Token Creature - Vampire|1|1|Lifelink (Damage dealt by this creature also causes you to gain that much life.)|MOM Japanese Promo Tokens|Common|Japanese|Hisashi Momose|7|Finishes: nonfoil:<br>Promos: plastic:<br>https://scryfall.com/card/wmom/7/ja/vampire?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1f189b30-92c0-4d07-867d-fbb366d54a52.jpg?1697476226}
b4311508-d045-4992-af44-703284de7e5a|Spirit||Token Creature - Spirit|1|1|Flying|MOM Japanese Promo Tokens|Common|Japanese|Yukihiro Maruo|8|Finishes: nonfoil:<br>Promos: plastic:<br>https://scryfall.com/card/wmom/8/ja/spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/4/b4311508-d045-4992-af44-703284de7e5a.jpg?1698008819}
13a0a1a6-8baf-45a9-8ecc-b3e6ddc16660|Treasure||Token Artifact - Treasure|||{T}, Sacrifice this token: Add one mana of any color.|MOM Japanese Promo Tokens|Common|Japanese|Esuthio|9|Finishes: nonfoil:<br>Promos: plastic:<br>https://scryfall.com/card/wmom/9/ja/treasure?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/3/13a0a1a6-8baf-45a9-8ecc-b3e6ddc16660.jpg?1698008833}
aa576f30-6502-4d4c-831f-99e77a29965c|Phyrexian Saproling||Token Creature - Phyrexian Saproling|1|1||MOM Japanese Promo Tokens|Common|Japanese|Ai Nanahira|10|Finishes: nonfoil:<br>Promos: plastic:<br>https://scryfall.com/card/wmom/10/ja/phyrexian-saproling?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/a/aa576f30-6502-4d4c-831f-99e77a29965c.jpg?1698008847}
4779bfe3-2039-4eb9-8f3b-7d8e2ed6f1df|Spirit||Token Creature - Spirit|3|2||MOM Japanese Promo Tokens|Common|Japanese|Ryo Kamei|11|Finishes: nonfoil:<br>Promos: plastic:<br>https://scryfall.com/card/wmom/11/ja/spirit?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/7/4779bfe3-2039-4eb9-8f3b-7d8e2ed6f1df.jpg?1698008857}
42ac3b2a-cc0a-45a4-802c-1c543472cdc6|Treasure||Token Artifact - Treasure|||{T}, Sacrifice this token: Add one mana of any color.|MOM Japanese Promo Tokens|Common|Japanese|Aogachou|12|Finishes: nonfoil:<br>Promos: plastic:<br>https://scryfall.com/card/wmom/12/ja/treasure?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/2/42ac3b2a-cc0a-45a4-802c-1c543472cdc6.jpg?1698008867}
