ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
629502|Archon of the Wild Rose|{2}{W}{W}|Creature - Archon|4|4|Flying<br>Other creatures you control that are enchanted by Auras you control have base power and toughness 4/4 and have flying.|Wilds of Eldraine|Rare||Chris Rahn|1|MID: 629502<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/1/archon-of-the-wild-rose?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/0/00174be7-0dc8-43b9-81b6-f25a8c3fb4eb.jpg?1692936281}
629503|Archon's Glory|{W}|Instant|||Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)<br>Target creature gets +2/+2 until end of turn. If this spell was bargained, that creature also gains flying and lifelink until end of turn.|Wilds of Eldraine|Common||Anastasia Ovchinnikova|2|MID: 629503<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/2/archons-glory?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/7/e71768e7-4ef7-4fb2-838b-eb3a7f662d38.jpg?1692936296}
629504|Armory Mice|{1}{W}|Creature - Mouse|3|1|Celebration — This creature gets +0/+2 as long as two or more nonland permanents entered the battlefield under your control this turn.|Wilds of Eldraine|Common||Chris Seaman|3|MID: 629504<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/3/armory-mice?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/b/4b041949-6fb6-40a6-9329-f209be537219.jpg?1692936311}
629505|Besotted Knight // Betroth the Beast|{3}{W}|Creature - Human Knight|3|3||Wilds of Eldraine|Common||Andreia Ugrai|4|MID: 629505<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/4/besotted-knight-betroth-the-beast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/5980a930-c7f8-45e1-a18a-87734d9ed09e.jpg?1708138623, FLIPID=-629505}
-629505|Besotted Knight // Betroth the Beast (adventure)|{W}|Sorcery - Adventure|||Create a Royal Role token attached to target creature you control. (Enchanted creature gets +1/+1 and has ward {1}.)|Wilds of Eldraine|Common||Andreia Ugrai|4b|MID: 629505<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/4/besotted-knight-betroth-the-beast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/9/5980a930-c7f8-45e1-a18a-87734d9ed09e.jpg?1708138623, FLIPID=629505}
629506|Break the Spell|{W}|Instant|||Destroy target enchantment. If a permanent you controlled or a token was destroyed this way, draw a card.|Wilds of Eldraine|Common||Miranda Meeks|5|MID: 629506<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br>https://scryfall.com/card/woe/5/break-the-spell?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/7/f7094fc0-1d26-429c-9b49-37718c4a5c80.jpg?1692936340}
629507|Charmed Clothier|{4}{W}|Creature - Faerie Advisor|3|3|Flying<br>When this creature enters, create a Royal Role token attached to another target creature you control. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward {1}.)|Wilds of Eldraine|Common||Winona Nelson|6|MID: 629507<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/6/charmed-clothier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/9/994f4473-dfc9-45cd-8528-945db3aa6a9a.jpg?1692936355}
629508|Cheeky House-Mouse // Squeak By|{W}|Creature - Mouse|2|1||Wilds of Eldraine|Uncommon||Uriah Voth|7|MID: 629508<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/7/cheeky-house-mouse-squeak-by?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1f3013bf-9647-4bdb-a638-d299ae00f88e.jpg?1707740191, FLIPID=-629508}
-629508|Cheeky House-Mouse // Squeak By (adventure)|{W}|Sorcery - Adventure|||Target creature you control gets +1/+1 until end of turn. It can't be blocked by creatures with power 3 or greater this turn.|Wilds of Eldraine|Uncommon||Uriah Voth|7b|MID: 629508<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/7/cheeky-house-mouse-squeak-by?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/f/1f3013bf-9647-4bdb-a638-d299ae00f88e.jpg?1707740191, FLIPID=629508}
629509|Cooped Up|{1}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature can't attack or block.<br>{2}{W}: Exile enchanted creature.|Wilds of Eldraine|Common||Jodie Muir|8|MID: 629509<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/8/cooped-up?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/a/8acb8758-09c5-4e19-ada1-904e36ece1fc.jpg?1692936384}
629510|Cursed Courtier|{2}{W}|Creature - Human Noble|3|3|Lifelink<br>When this creature enters, create a Cursed Role token attached to it. (Enchanted creature is 1/1.)|Wilds of Eldraine|Uncommon||Tuan Duong Chu|9|MID: 629510<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/9/cursed-courtier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/3/d/3d2d5a71-d6e1-4c96-9a53-0e370047a56e.jpg?1692936399}
629511|Discerning Financier|{2}{W}|Creature - Human Noble|2|3|At the beginning of your upkeep, if an opponent controls more lands than you, create a Treasure token. (It's an artifact with "{T}, Sacrifice this token: Add one mana of any color.")<br>{2}{W}: Choose another player. That player gains control of target Treasure you control. You draw a card.|Wilds of Eldraine|Uncommon||Wayne Reynolds|10|MID: 629511<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/10/discerning-financier?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/8/584774b5-640f-45e0-810b-f5faf119645b.jpg?1692936413}
629512|Dutiful Griffin|{3}{W}{W}|Creature - Griffin|4|4|Flying<br>{2}{W}, Sacrifice two enchantments: Return this card from your graveyard to your hand.|Wilds of Eldraine|Uncommon||Ilse Gort|11|MID: 629512<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/11/dutiful-griffin?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/8/b8e40377-990f-41ea-8dd2-62a998dcd128.jpg?1692936427}
629513|Eerie Interference|{2}{W}|Instant|||Prevent all damage that would be dealt to you and creatures you control this turn by creatures.|Wilds of Eldraine|Uncommon||Néstor Ossandón Leal|12|MID: 629513<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br>https://scryfall.com/card/woe/12/eerie-interference?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/2/42a74545-75c8-4a6b-bee1-ac5665d9bcf0.jpg?1693867178}
629514|Expel the Interlopers|{3}{W}{W}|Sorcery|||Choose a number between 0 and 10. Destroy all creatures with power greater than or equal to the chosen number.|Wilds of Eldraine|Rare||Andreas Zafiratos|13|MID: 629514<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/13/expel-the-interlopers?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/1094eef0-6c57-4bfa-a584-f708b87354fb.jpg?1692936458}
629515|Frostbridge Guard|{1}{W}|Creature - Elemental Soldier|2|2|{2}{W}, {T}: Tap target creature.|Wilds of Eldraine|Common||Paul Scott Canavan|14|MID: 629515<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/14/frostbridge-guard?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/9/b9dec431-a20e-4c1c-9855-904779756509.jpg?1692936472}
629516|Gallant Pie-Wielder|{2}{W}|Creature - Dwarf Knight|2|3|First strike<br>Celebration — This creature has double strike as long as two or more nonland permanents entered the battlefield under your control this turn.|Wilds of Eldraine|Uncommon||Matt Forsyth|15|MID: 629516<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/15/gallant-pie-wielder?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/0/e053d330-d0a2-4468-afba-42bf165b8fbf.jpg?1692936487}
629517|Glass Casket|{1}{W}|Artifact|||When this artifact enters, exile target creature an opponent controls with mana value 3 or less until this artifact leaves the battlefield.|Wilds of Eldraine|Uncommon||Raoul Vitale|16|MID: 629517<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br>https://scryfall.com/card/woe/16/glass-casket?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/2/02c5c395-ee8b-47fd-ac52-256354c19cdf.jpg?1692936502}
629518|Hopeful Vigil|{1}{W}|Enchantment|||When this enchantment enters, create a 2/2 white Knight creature token with vigilance.<br>When this enchantment is put into a graveyard from the battlefield, scry 2.<br>{2}{W}: Sacrifice this enchantment.|Wilds of Eldraine|Common||Jake Murray|17|MID: 629518<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/woe/17/hopeful-vigil?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/3/d382fd32-b1f5-4ec7-9d42-fc2915ed3bc9.jpg?1692936516}
629519|Kellan's Lightblades|{1}{W}|Instant|||Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)<br>Kellan's Lightblades deals 3 damage to target attacking or blocking creature. If this spell was bargained, destroy that creature instead.|Wilds of Eldraine|Common||Fajareka Setiawan|18|MID: 629519<br>Finishes: nonfoil:foil:<br>StorySpotlight: true<br>https://scryfall.com/card/woe/18/kellans-lightblades?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/0/c/0cc727a6-f875-49b1-b7a4-67f22fbc3d50.jpg?1710276551}
