ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
1cb0ea8e-0707-46a8-9dc6-77c17244fd7b|Blind Obedience|{1}{W}|Enchantment|||Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)<br>Artifacts and creatures your opponents control enter tapped.<BR><a href="https://api.scryfall.com/cards/1cb0ea8e-0707-46a8-9dc6-77c17244fd7b/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Rare||Olena Richards|1|R$ 3.05 F$ 5.75<br>MID: 632429<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/1/blind-obedience?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632429&printed=false">Gatherer</a>|632429|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/c/1cb0ea8e-0707-46a8-9dc6-77c17244fd7b.jpg?1694188834}
de36ecaa-62e0-4f1c-b07f-837a786dc897|Dawn of Hope|{1}{W}|Enchantment|||Whenever you gain life, you may pay {2}. If you do, draw a card.<br>{3}{W}: Create a 1/1 white Soldier creature token with lifelink.<BR><a href="https://api.scryfall.com/cards/de36ecaa-62e0-4f1c-b07f-837a786dc897/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Rare||Maël Ollivier-Henry|2|R$ 0.34 F$ 0.57<br>MID: 632430<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/2/dawn-of-hope?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632430&printed=false">Gatherer</a>|632430|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/e/de36ecaa-62e0-4f1c-b07f-837a786dc897.jpg?1692932039}
d983b297-e341-40fa-ba9b-b9f87eb25057|Grasp of Fate|{1}{W}{W}|Enchantment|||When this enchantment enters, for each opponent, exile up to one target nonland permanent that player controls until this enchantment leaves the battlefield. (Those permanents return under their owners' control.)<BR><a href="https://api.scryfall.com/cards/d983b297-e341-40fa-ba9b-b9f87eb25057/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Uncommon||WFlemming Illustration|3|R$ 0.23 F$ 0.35<br>MID: 632431<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/3/grasp-of-fate?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632431&printed=false">Gatherer</a>|632431|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d983b297-e341-40fa-ba9b-b9f87eb25057.jpg?1692932056}
7088f502-662e-4083-b9b2-fdc0574592cd|Greater Auramancy|{1}{W}|Enchantment|||Other enchantments you control have shroud. (A permanent with shroud can't be the target of spells or abilities.)<br>Enchanted creatures you control have shroud.<BR><a href="https://api.scryfall.com/cards/7088f502-662e-4083-b9b2-fdc0574592cd/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Mythic||Meel Tamphanon|4|R$ 11.98 F$ 13.75<br>MID: 632432<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/4/greater-auramancy?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632432&printed=false">Gatherer</a>|632432|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/7/0/7088f502-662e-4083-b9b2-fdc0574592cd.jpg?1692932072}
b0c1cd62-aa6e-4120-ba70-1f12c8efe389|Griffin Aerie|{1}{W}|Enchantment|||At the beginning of your end step, if you gained 3 or more life this turn, create a 2/2 white Griffin creature token with flying.<BR><a href="https://api.scryfall.com/cards/b0c1cd62-aa6e-4120-ba70-1f12c8efe389/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Uncommon||Eva Eskelinen|5|R$ 0.07 F$ 0.19<br>MID: 632433<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/5/griffin-aerie?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632433&printed=false">Gatherer</a>|632433|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/0/b0c1cd62-aa6e-4120-ba70-1f12c8efe389.jpg?1692973532}
bb1bc2f9-d02a-4515-aa07-fcf98a3d194d|Intangible Virtue|{1}{W}|Enchantment|||Creature tokens you control get +1/+1 and have vigilance.<BR><a href="https://api.scryfall.com/cards/bb1bc2f9-d02a-4515-aa07-fcf98a3d194d/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Uncommon||BEMOCS|6|R$ 0.21 F$ 0.30<br>MID: 632434<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/6/intangible-virtue?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632434&printed=false">Gatherer</a>|632434|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/b/b/bb1bc2f9-d02a-4515-aa07-fcf98a3d194d.jpg?1692932101}
45078d81-91ea-402c-ab3c-8464fc2ebb42|Karmic Justice|{2}{W}|Enchantment|||Whenever a spell or ability an opponent controls destroys a noncreature permanent you control, you may destroy target permanent that opponent controls.<BR><a href="https://api.scryfall.com/cards/45078d81-91ea-402c-ab3c-8464fc2ebb42/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Rare||Matteo Marjoram|7|R$ 1.34 F$ 1.72<br>MID: 632435<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/7/karmic-justice?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632435&printed=false">Gatherer</a>|632435|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/5/45078d81-91ea-402c-ab3c-8464fc2ebb42.jpg?1703849303}
844b8b36-6c45-445c-92a3-f1058669d66a|Knightly Valor|{4}{W}|Enchantment - Aura|||Enchant creature<br>When this Aura enters, create a 2/2 white Knight creature token with vigilance. (Attacking doesn't cause it to tap.)<br>Enchanted creature gets +2/+2 and has vigilance.<BR><a href="https://api.scryfall.com/cards/844b8b36-6c45-445c-92a3-f1058669d66a/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Uncommon||Matteo Bassini|8|R$ 0.10 F$ 0.15<br>MID: 632436<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/8/knightly-valor?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632436&printed=false">Gatherer</a>|632436|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/8/4/844b8b36-6c45-445c-92a3-f1058669d66a.jpg?1692932132}
cb8796fd-ebf4-4fe3-b785-f48c65ff8257|Land Tax|{W}|Enchantment|||At the beginning of your upkeep, if an opponent controls more lands than you, you may search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle.<BR><a href="https://api.scryfall.com/cards/cb8796fd-ebf4-4fe3-b785-f48c65ff8257/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Mythic||Francoyovich|9|R$ 20.76 F$ 27.00<br>MID: 632437<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/9/land-tax?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632437&printed=false">Gatherer</a>|632437|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/b/cb8796fd-ebf4-4fe3-b785-f48c65ff8257.jpg?1692948867}
dfaae165-add6-491f-9521-60e30accc528|Leyline of Sanctity|{2}{W}{W}|Enchantment|||If this card is in your opening hand, you may begin the game with it on the battlefield.<br>You have hexproof. (You can't be the target of spells or abilities your opponents control.)<BR><a href="https://api.scryfall.com/cards/dfaae165-add6-491f-9521-60e30accc528/rulings">Rulings</a>|Wilds of Eldraine: Enchanting Tales|Rare||WFlemming Illustration|10|R$ 0.82 F$ 1.04<br>MID: 632438<br>Finishes: nonfoil:foil:<br>FullArt: true<br>Promos: boosterfun:<br><br><a href="https://scryfall.com/card/wot/10/leyline-of-sanctity?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=632438&printed=false">Gatherer</a>|632438|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/f/dfaae165-add6-491f-9521-60e30accc528.jpg?1692932160}
