ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|GATHERERID|TCGID|PROPERTIES
975f7752-e981-4046-ae9b-90b20db6b23a|Armament Master|{W}{W}|Creature - Kor Soldier|2|2|Other Kor creatures you control get +2/+2 for each Equipment attached to this creature.<BR><a href="https://api.scryfall.com/cards/975f7752-e981-4046-ae9b-90b20db6b23a/rulings">Rulings</a>|Zendikar|Rare||Steven Belledin|1|MID: 190420<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/1/armament-master?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=190420&printed=false">Gatherer</a>|190420|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/7/975f7752-e981-4046-ae9b-90b20db6b23a.jpg?1562614596}
d94d5ae2-4d37-4c5f-b490-e578297d87c2|Arrow Volley Trap|{3}{W}{W}|Instant - Trap|||If four or more creatures are attacking, you may pay {1}{W} rather than pay this spell's mana cost.<br>Arrow Volley Trap deals 5 damage divided as you choose among any number of target attacking creatures.<BR><a href="https://api.scryfall.com/cards/d94d5ae2-4d37-4c5f-b490-e578297d87c2/rulings">Rulings</a>|Zendikar|Uncommon||Steve Argyle|2|MID: 193404<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/2/arrow-volley-trap?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=193404&printed=false">Gatherer</a>|193404|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/9/d94d5ae2-4d37-4c5f-b490-e578297d87c2.jpg?1562617271}
5f657723-dd5d-4786-9d9b-ac7ed279615a|Bold Defense|{2}{W}|Instant|||Kicker {3}{W} (You may pay an additional {3}{W} as you cast this spell.)<br>Creatures you control get +1/+1 until end of turn. If this spell was kicked, instead creatures you control get +2/+2 and gain first strike until end of turn.<BR><a href="https://api.scryfall.com/cards/5f657723-dd5d-4786-9d9b-ac7ed279615a/rulings">Rulings</a>|Zendikar|Common||Scott Chou|3|MID: 180509<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/3/bold-defense?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=180509&printed=false">Gatherer</a>|180509|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/5/f/5f657723-dd5d-4786-9d9b-ac7ed279615a.jpg?1562612676}
c14c492d-3fd7-4b2a-910e-bfcb33752eba|Brave the Elements|{W}|Instant|||Choose a color. White creatures you control gain protection from the chosen color until end of turn.<BR><a href="https://api.scryfall.com/cards/c14c492d-3fd7-4b2a-910e-bfcb33752eba/rulings">Rulings</a>|Zendikar|Uncommon||Goran Josic|4|MID: 185734<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/4/brave-the-elements?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=185734&printed=false">Gatherer</a>|185734|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/c/1/c14c492d-3fd7-4b2a-910e-bfcb33752eba.jpg?1562616243}
ffdf3a3d-292d-40b9-b28c-34ad33a76bb4|Caravan Hurda|{4}{W}|Creature - Giant|1|5|Lifelink (Damage dealt by this creature also causes you to gain that much life.)<BR><a href="https://api.scryfall.com/cards/ffdf3a3d-292d-40b9-b28c-34ad33a76bb4/rulings">Rulings</a>|Zendikar|Common||Dave Kendall|5|MID: 185697<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/5/caravan-hurda?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=185697&printed=false">Gatherer</a>|185697|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/f/ffdf3a3d-292d-40b9-b28c-34ad33a76bb4.jpg?1562618763}
4599c159-386e-4b13-a386-185924333fc5|Celestial Mantle|{3}{W}{W}{W}|Enchantment - Aura|||Enchant creature<br>Enchanted creature gets +3/+3.<br>Whenever enchanted creature deals combat damage to a player, double its controller's life total.<BR><a href="https://api.scryfall.com/cards/4599c159-386e-4b13-a386-185924333fc5/rulings">Rulings</a>|Zendikar|Rare||Steve Argyle|6|MID: 198524<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/6/celestial-mantle?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=198524&printed=false">Gatherer</a>|198524|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/5/4599c159-386e-4b13-a386-185924333fc5.jpg?1562611777}
1743b625-e937-4cac-8701-9e2dd709a9a4|Cliff Threader|{1}{W}|Creature - Kor Scout|2|1|Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)<BR><a href="https://api.scryfall.com/cards/1743b625-e937-4cac-8701-9e2dd709a9a4/rulings">Rulings</a>|Zendikar|Common||Paul Bonner|7|MID: 177546<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/7/cliff-threader?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=177546&printed=false">Gatherer</a>|177546|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/7/1743b625-e937-4cac-8701-9e2dd709a9a4.jpg?1562610118}
1af1844a-601a-48c1-bf96-921d2d2e2aa1|Conqueror's Pledge|{2}{W}{W}{W}|Sorcery|||Kicker {6} (You may pay an additional {6} as you cast this spell.)<br>Create six 1/1 white Kor Soldier creature tokens. If this spell was kicked, create twelve of those tokens instead.<BR><a href="https://api.scryfall.com/cards/1af1844a-601a-48c1-bf96-921d2d2e2aa1/rulings">Rulings</a>|Zendikar|Rare||Kev Walker|8|MID: 195626<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/8/conquerors-pledge?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=195626&printed=false">Gatherer</a>|195626|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/a/1af1844a-601a-48c1-bf96-921d2d2e2aa1.jpg?1562610252}
2aa98fca-972b-46c2-bdec-6ace35c988d5|Day of Judgment|{2}{W}{W}|Sorcery|||Destroy all creatures.<BR><a href="https://api.scryfall.com/cards/2aa98fca-972b-46c2-bdec-6ace35c988d5/rulings">Rulings</a>|Zendikar|Rare||Vincent Proce|9|MID: 186309<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/9/day-of-judgment?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=186309&printed=false">Gatherer</a>|186309|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/a/2aa98fca-972b-46c2-bdec-6ace35c988d5.jpg?1562610835}
16e31e43-84d3-429e-9e81-60b325989c93|Devout Lightcaster|{W}{W}{W}|Creature - Kor Cleric|2|2|Protection from black<br>When this creature enters, exile target black permanent.<BR><a href="https://api.scryfall.com/cards/16e31e43-84d3-429e-9e81-60b325989c93/rulings">Rulings</a>|Zendikar|Rare||Shelly Wan|10|MID: 191374<br>Finishes: nonfoil:foil:<br><br><a href="https://scryfall.com/card/zen/10/devout-lightcaster?utm_source=api">Scryfall</a>   <a href="https://gatherer.wizards.com/Pages/Card/Details.aspx?multiverseid=191374&printed=false">Gatherer</a>|191374|0|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/6/16e31e43-84d3-429e-9e81-60b325989c93.jpg?1562610112}
