ID|NAME|COST|TYPE|POWER|TOUGHNESS|ORACLE|SET|RARITY|LANG|ARTIST|COLLNUM|TEXT|PROPERTIES
497161|Flooded Strand||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Adam Paquette|1|MID: 497161<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/1/flooded-strand?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/a/c/acc4115b-4bbb-4bb7-81c6-466130982a9c.jpg?1604195138}
497162|Polluted Delta||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Swamp card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Titus Lunter|2|MID: 497162<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/2/polluted-delta?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/d/0/d052d99b-b1ca-44da-8460-c022d041d665.jpg?1604195170}
497163|Bloodstained Mire||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Mountain card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Sam Burley|3|MID: 497163<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/3/bloodstained-mire?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/d/ed7bcbf1-9045-4810-93fa-9918c45856ca.jpg?1604195201}
497164|Wooded Foothills||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Forest card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Daarken|4|MID: 497164<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/4/wooded-foothills?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/1/0/1066a94a-8e4f-4d77-820b-7a77a18116f0.jpg?1604195216}
497165|Windswept Heath||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Plains card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Johannes Voss|5|MID: 497165<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/5/windswept-heath?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/3/63c59228-c742-4abd-b4d7-9f7880190e95.jpg?1604195250}
497166|Marsh Flats||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Swamp card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Sam Burley|6|MID: 497166<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/6/marsh-flats?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/9/e/9e1e76a2-ec37-4fd8-8185-f98f675ff0cb.jpg?1604195294}
497167|Scalding Tarn||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for an Island or Mountain card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Jonas De Ro|7|MID: 497167<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/7/scalding-tarn?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/4/8/48f0a970-452a-405f-bd4d-ac4d2e89ab40.jpg?1604195314}
497168|Verdant Catacombs||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Swamp or Forest card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Alayna Danner|8|MID: 497168<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/8/verdant-catacombs?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/e/f/efd97080-c5c7-47db-b605-8bdd06c2dd5a.jpg?1604195335}
497169|Arid Mesa||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Mountain or Plains card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Adam Paquette|9|MID: 497169<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/9/arid-mesa?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/2/4/245e16ae-4514-42fa-b409-2c3ae084436c.jpg?1604195370}
497170|Misty Rainforest||Land|||{T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.|Zendikar Rising Expeditions|Mythic||Sam Burley|10|MID: 497170<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/10/misty-rainforest?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/6/d/6d14bd1a-068e-4338-8014-d5271cb2fe4d.jpg?1604195410}
497171|Seachrome Coast||Land|||This land enters tapped unless you control two or fewer other lands.<br>{T}: Add {W} or {U}.|Zendikar Rising Expeditions|Mythic||Adam Paquette|11|MID: 497171<br>Finishes: nonfoil:foil:<br>https://scryfall.com/card/zne/11/seachrome-coast?utm_source=api|{IMAGE_URL=https://cards.scryfall.io/normal/front/f/d/fd8a9bf6-07c7-4dde-8c37-4bae64ca10ef.jpg?1604195436}
